sinco,descripcion
1619,",""Otros coordinadores y jefes de área en producción agropecuaria, industrial, construcción y mantenimiento, no clasificados anteriormente"""
1621,Coordinadores y jefes de área en informática
1622,Coordinadores y jefes de área en comunicación y telecomunicaciones
1623,Coordinadores y jefes de área en servicios de transporte
1624,Coordinadores y jefes de área en centros de investigación y desarrollo tecnológico
1629,",""Otros coordinadores y jefes de área  en informática, telecomunicaciones, transporte y en investigación y desarrollo tecnológico, no clasificados anteriormente"""
1711,"""Coordinadores y jefes de área de ventas, comercialización y alquiler"""
1712,Coordinadores y jefes de área de restaurantes y hoteles
1721,"""Coordinadores y jefes de área en actividades artísticas, de cine, teatro y afines"""
1722,"""Coordinadores y jefes de área en museos, cines, deportivos y servicios culturales"""
1723,Coordinadores y jefes de área en servicios funerarios y otros servicios
1999,"""Otros directores, funcionarios, gerentes, coordinadores y jefes de área, no clasificados  anteriormente"""
2111,Administradores y especialistas en recursos humanos y sistemas de gestión
2112,"""Especialistas y consultores en mercadotecnia, publicidad, comunicación y comercio exterior"""
2113,Especialistas en hotelería y turismo
2121,Contadores y auditores
2122,Asesores y analistas en finanzas
2123,"""Economistas, consultores e investigadores en política económica"""
2131,"""Antropólogos, arqueólogos e historiadores"""
2132,Investigadores y especialistas en sociología y desarrollo social
2133,Investigadores y especialistas en ciencias políticas y administración pública
2134,Geógrafos
2135,Abogados
2142,Psicólogos
2143,Especialistas en trabajo social
2144,"""Especialistas en archivonomía, biblioteconomía y museografía"""
2145,"""Sacerdotes, pastores y otros teólogos"""
2151,Escritores y críticos literarios
2152,Periodistas y redactores
2153,Traductores e intérpretes
2161,Pintores
2162,"""Dibujantes y diseñadores artísticos, ilustradores y grabadores"""
2163,Escultores
2164,Escenógrafos
2171,Compositores y arreglistas
2172,Músicos
2173,Cantantes
2174,Bailarines y coreógrafos
2175,Actores
2211,Investigadores y especialistas en física
2212,"""Investigadores y especialistas en matemáticas, estadística y actuaría"""
2221,Biólogos y especialistas en ciencias del mar y oceanógrafos
2222,Químicos
2223,Ecólogos y especialistas en ciencias atmosféricas
2231,Agrónomos
2232,Veterinarios y zootecnistas
2241,Ingenieros eléctricos
2242,Ingenieros electrónicos
2251,Ingenieros químicos
2252,Ingenieros mecánicos
2253,Ingenieros industriales
2254,"""Ingenieros en minas, metalurgia y petróleo"""
2261,Ingenieros civiles y de la construcción
2262,"""Ingenieros en topografía, hidrología, geología y geodesia"""
2263,"""Arquitectos, planificadores urbanos y del transporte"""
2271,Desarrolladores y analistas de software y multimedia
2272,Administradores de bases de datos y redes de computadora
2281,Ingenieros en comunicaciones y telecomunicaciones
2311,Supervisores e inspectores educativos
2312,"""Pedagogos, orientadores educativos y otros especialistas en ciencias educativas"""
2321,Profesores universitarios y de enseñanza superior
2322,Profesores de preparatoria y equivalentes
2331,Profesores de enseñanza secundaria
2332,Profesores de enseñanza primaria
2333,Alfabetizadores
2334,Profesores de enseñanza bilingüe (indígena)
2335,Profesores de enseñanza preescolar
2339,",""Otros profesores de nivel básico, no clasificados anteriormente"""
2341,Profesores de personas con problemas de audición y lenguaje
2342,Profesores de personas con problemas de aprendizaje
2343,Otros profesores de enseñanza especial
2391,"""Otros profesores y especialistas en docencia, no clasificados anteriormente"""
2411,Médicos generales y familiares
2412,Médicos especialistas
2413,Dentistas
2421,Ingenieros biomédicos
2422,Optometristas
2423,Nutriólogos
2424,Especialistas en seguridad e higiene y salud pública
2425,Especialistas en medicina tradicional y alternativa
2426,Enfermeras especialistas
2427,"""Fisioterapeutas, audiólogos y logopedas"""
2428,Farmacólogos
2511,"""Auxiliares en administración, mercadotecnia, comercialización y comercio exterior"""
2512,"""Auxiliares en contabilidad, economía, finanzas y agentes de bolsa"""
2513,Tramitadores aduanales
2514,"""Valuadores, subastadores y rematadores"""
2521,Oficiales del ministerio público y detectives
2522,Agentes aduanales y fronterizos
2523,Agentes de recaudación tributaria y de licencias
2524,"""Inspectores en seguridad social, de precios y otros inspectores públicos"""
2531,Auxiliares en ciencias sociales y humanistas
2532,Auxiliares en servicios jurídicos
2533,Monjas y predicadores
2541,Diseñadores de moda y vestuario
2542,Diseñadores industriales
2543,Diseñadores gráficos
2544,"""Decoradores de interiores, jardines y diversos materiales (tazas, llaveros, etcétera)"""
2551,"""Locutores de radio, televisión y otros medios de comunicación"""
2552,Animadores y organizadores de eventos
2553,"""Payasos, mimos y cirqueros"""
2561,Deportistas
2562,Entrenadores deportivos y directores técnicos
2563,Árbitros y jueces deportivos
2611,"""Auxiliares y técnicos en física, matemáticas, estadística y actuaría"""
2612,"""Auxiliares y técnicos en ciencias biológicas, químicas y del medio ambiente"""
2613,Auxiliares y técnicos en agronomía
2614,"""Auxiliares y técnicos en veterinaria, pesca y forestación"""
2621,Auxiliares y técnicos industriales y químicos
2622,"""Auxiliares y técnicos topógrafos, en hidrología y geología"""
2623,"""Auxiliares y técnicos mineros, metalúrgicos y petroleros"""
2624,Auxiliares y técnicos en construcción y arquitectura
2625,Dibujantes técnicos
2630,"""Supervisores de mecánicos y técnicos en mantenimiento y reparación de equipos mecánicos, vehículos  de motor, instrumentos industriales y equipo de refrigeración"""
2631,Técnicos en mantenimiento y reparación de vehículos de motor
2632,Mecánicos en mantenimiento y reparación de vehículos de motor
2633,Técnicos en mantenimiento y reparación de maquinaria e instrumentos industriales
2634,Mecánicos en mantenimiento y reparación de maquinaria e instrumentos industriales
2635,Técnicos en mantenimiento y reparación de instrumentos de precisión y musicales
2636,Mecánicos en mantenimiento y reparación de instrumentos de precisión y musicales
2637,"""Técnicos en la instalación, reparación y mantenimiento de equipos de refrigeración, climas y aire acondicionado"""
2638,"""Mecánicos en  instalación, mantenimiento y reparación de equipos de refrigeración, climas y aire acondicionado."""
2639,",""Otras ocupaciones de mecánicos y técnicos en el mantenimiento y reparación de equipos mecánicos, vehículos de motor e instrumentos industriales, no clasificados anteriormente"""
2640,"""Supervisores de técnicos eléctricos, en electrónica y de equipos en telecomunicaciones y electromecánicos"""
2641,Técnicos eléctricos
2642,Electricistas y linieros
2643,"""Técnicos en instalación y reparación de equipos electrónicos, telecomunicaciones y electrodoméstico (excepto equipos informáticos)"""
2644,"""Trabajadores en instalación y reparación de equipos electrónicos, telecomunicaciones y electrodoméstico (excepto equipos informáticos)"""
2645,Técnicos en reparación de equipos electromecánicos
2646,Trabajadores en reparación de equipos electromecánicos
2651,"""Técnicos en la instalación y reparación de redes, equipos y en sistemas computacionales"""
2652,Técnicos en operaciones de equipos de radio
2653,Auxiliares y técnicos de equipos de grabación y reproducción de video
2654,"""Auxiliares y técnicos de ingeniería de audio, sonido e iluminación"""
2655,Fotógrafos
2661,Controladores de tráfico aéreo
2662,"""Controladores de tráfico de otros transportes (terrestre, ferroviario y marítimo)"""
2711,Auxiliares y técnicos en pedagogía y en educación
2712,Instructores en estudios y capacitación artística
2713,Instructores en estudios y capacitación comercial y administrativa
2714,Instructores en idiomas extranjeros
2715,Instructores y capacitadores en oficios y para el trabajo
2716,Profesores en educación física y deporte
2811,Enfermeras (técnicas)
2812,"""Técnicos en aparatos de diagnóstico, tratamiento médico, podólogos y fisioterapeutas"""
2813,Técnicos de laboratorios médicos
2815,Técnicos de prótesis médicas y dentales
2816,Técnicos dietistas y nutriólogos
2817,Técnicos en medicina alternativa
2821,Auxiliares en enfermería y paramédicos
2822,Auxiliares y asistentes dentales
2823,Auxiliares hospitalarios y de medicina
2824,Parteras
2825,Técnicos en seguridad en el trabajo e higiene
2826,"""Curanderos, hierberos y hueseros"""
2827,Fumigadores y controladores de plagas
2991,Otros especialistas no clasificados anteriormente
2992,Otros técnicos no clasificados anteriormente
3101,"""Supervisores de secretarias, capturistas, cajeros y trabajadores de control de archivo y transporte"""
3111,Secretarias
3112,"""Taquígrafos, mecanógrafos y similares"""
3113,Capturistas de datos
3114,"""Operadores de máquinas de oficina (fotocopiadora, etc.)"""
3115,Trabajadores de apoyo en actividades administrativas diversas
3121,"""Cajeros, taquilleros y receptores de apuestas"""
3122,"""Cobradores, pagadores y prestamistas"""
3131,Trabajadores en archivo y correspondencia
3132,Encargados y trabajadores en control de almacén y bodega
3141,Despachadores de transporte
3142,Checadores y revisores de transporte
3201,Supervisores de trabajadores que brindan y manejan información
3211,Recepcionistas y trabajadores que brindan información (de forma personal)
3212,Trabajadores que brindan información por teléfono (centro de llamadas) y anunciadores
3213,Telefonistas y telegrafistas
3221,Trabajadores en agencias de viajes
3222,"""Guías de turismo en museos, casinos, parques, cines y otros centros recreativos"""
3231,Encuestadores
3232,Codificadores de información
4111,Comerciantes en establecimientos
4201,Encargados y supervisores de ventas de productos y de servicios financieros y de alquiler
4211,"""Empleados de ventas, despachadores y dependientes en comercios"""
4212,"""Anaqueleros, acomodadores y seleccionadores de mercancías y alimentadores de máquinas expendedoras"""
4213,Vendedores por teléfono
4214,Choferes vendedores
4221,Agentes y representantes de ventas y consignatarios
4222,Agentes de seguros y servicios financieros (ejecutivos de cuenta)
4223,Agentes de bienes raíces
4224,Vendedores por catálogo
4231,Demostradores y promotores
4232,Edecanes
4233,"""Modelos de moda, arte y publicidad"""
4311,"""Trabajadores en el alquiler inmobiliario (casas, terrenos, etcétera)"""
4312,"""Trabajadores en el alquiler de bienes muebles (loza, películas, videojuegos, etcétera)"""
5101,"""Supervisores en la preparación y servicio de alimentos y bebidas, así como en servicios de esparcimiento y de hotelería"""
5111,Cocineros
5112,"""Fonderos, vendedores y comerciantes de comida"""
5113,Cocineros domésticos
5114,"""Taqueros y preparadores de comida rápida, antojitos, pizzas, hot dogs, jugos, café, etcétera"""
5115,Cantineros
5116,Meseros
5201,Supervisores y encargados de trabajadores en cuidados personales y del hogar
5211,"""Peluqueros, barberos, estilistas y peinadores"""
5212,"""Maquillistas, manicuristas, pedicuristas y tatuadores"""
5213,Bañeros y masajistas
5221,"""Cuidadores de niños, personas con discapacidad y ancianos en establecimientos"""
5222,"""Cuidadores de niños, personas con discapacidad y ancianos en casas particulares"""
5231,Azafatas y sobrecargos
5241,Jardineros en establecimientos
5242,Jardineros en casas particulares
5251,"""Astrólogos, adivinadores y afines"""
5252,Trabajadores dedicados a la prostitución
5253,Trabajadores en servicios funerarios
5254,Entrenadores de animales y ocupaciones relacionadas con el cuidado de mascotas
5301,Supervisores en servicios de protección y vigilancia
5311,Bomberos
5312,Policías y agentes de tránsito
5313,Vigilantes y guardias en establecimientos
5314,Vigilantes y porteros en casas particulares
5401,Supervisores de las fuerzas armadas
5411,Trabajadores de la fuerza armada aérea
5412,Trabajadores de la fuerza armada marítima
5413,Trabajadores de la fuerza armada terrestre
6101,"""Supervisores, encargados y capataces agropecuarios"""
6111,Trabajadores en el cultivo de maíz y/o frijol
6112,Trabajadores en el cultivo de hortalizas y verduras
6113,"""Trabajadores en el cultivo de café, cacao y tabaco"""
6114,Trabajadores en el cultivo de frutales
6115,Trabajadores en el cultivo de flores
6116,Trabajadores en otros cultivos agrícolas
6117,Trabajadores en actividades de beneficio de productos agrícolas
6119,",""Otros trabajadores en actividades agrícolas, no clasificados anteriormente"""
6121,Trabajadores en la cría de ganado bovino
6122,Trabajadores en la cría de porcinos
6123,Trabajadores en la cría avícola
6124,Trabajadores en la cría de caprinos y ovinos
6125,Trabajadores en la cría de equinos
6126,Trabajadores en la apicultura
6127,Trabajadores en la cría y cuidado de otro tipo de animales
6128,Trabajadores en actividades de beneficio de productos pecuarios
6129,",""Otros trabajadores en actividades ganaderas y en la cría de animales, no clasificados anteriormente"""
6131,Trabajadores que combinan actividades agrícolas con ganaderas
6201,"""Supervisores, encargados y capataces de trabajadores en actividades pesqueras, acuícolas, forestales, caza y similares"""
6211,Trabajadores en actividades pesqueras
6212,Trabajadores en actividades de acuacultura
6213,Trabajadores en actividades de beneficio de productos pesqueros o acuícolas
6221,"""Taladores, trocadores, cortadores de árboles y similares"""
6222,"""Caucheros, chicleros, resineros y similares"""
6223,Trabajadores en viveros e invernaderos
6224,"""Trabajadores en actividades de plantación, reforestación y conservación de bosques"""
6225,Cortadores de leña
6226,"""Trabajadores en actividades de recolección de plantas, hierbas y raíces no cultivadas"""
6227,Productores de carbón vegetal
6231,"""Trabajadores en actividades de caza, trampería y similares"""
6311,Operadores de maquinaria agropecuaria y forestal
7101,"""Supervisores de trabajadores en la extracción, albañiles y en acabados de la construcción"""
7111,Mineros y trabajadores en la extracción en minas de minerales metálicos
7112,"""Trabajadores en la extracción de cantera, arcilla, arena, piedra y grava"""
7113,Dinamiteros y buzos en perforación de pozos y en la construcción
7121,"""Albañiles, mamposteros y afines  """
7122,"""Techadores (colocadores de palapas, etcétera) """
7123,Carpinteros de obra negra
7131,"""Yeseros, escayolistas y otros recubridores de techos y paredes  """
7132,"""Instaladores de pisos, azulejos, mosaicos y baldosas"""
7133,"""Instaladores de material aislante, de impermeabilización, vidrio y otros materiales"""
7134,"""Plomeros, fontaneros e instaladores de tubería """
7135,Pintores de brocha gorda
7201,Supervisores de artesanos y trabajadores en el tratamiento y elaboración de productos de metal
7211,"""Moldeadores, torneros y troqueladores"""
7212,Soldadores y oxicortadores
7213,"""Hojalateros, chaperos, latoneros, cobreros y pintores de metales"""
7214,Montadores de estructuras metálicas
7221,"""Herreros, balconeros, aluminadores y forjadores"""
7222,"""Cerrajeros, afiladores y pulidores de herramientas"""
7223,"""Joyeros, orfebres, plateros y pulidores de metal"""
7301,"""Supervisores de artesanos y trabajadores en la elaboración de productos de madera, papel, textiles y de cuero y piel"""
7311,"""Carpinteros, ebanistas y cepilladores en la elaboración de productos de madera"""
7312,Pintores y barnizadores de madera
7313,"""Artesanos de productos de bejuco, vara, palma, carrizo y mimbre, excepto madera"""
7321,Artesanos y trabajadores en la elaboración de productos de papel y cartón
7322,"""Impresores, linotipistas, fotograbadores y encuadernadores"""
7323,Reveladores e impresores de fotografías
7331,Trabajadores en la preparación de fibras e hilados
7332,Tejedores de fibras
7341,"""Sastres y modistos, costureras y confeccionadores de prendas de vestir"""
7342,Artesanos y confeccionadores de productos textiles
7343,Bordadores y deshiladores
7344,Patronistas de productos textiles
7351,Tapiceros
7352,"""Peleteros, cortadores, curtidores y teñidores de cuero, piel y similares """
7353,Zapateros artesanales
7401,"""Supervisores de artesanos y trabajadores en la elaboración de productos de hule, caucho, plásticos y de sustancias químicas """
7411,"""Trabajadores en la elaboración y reparación de productos de hule, caucho, plásticos y vulcanización de neumáticos """
7412,Trabajadores en la elaboración de sustancias y compuestos químicos
7501,"""Supervisores de trabajadores en la elaboración y procesamiento de alimentos, bebidas y productos de tabaco"""
7511,"""Trabajadores en la elaboración de productos de carne, pescado y sus derivados """
7512,Trabajadores en la elaboración de productos lácteos
7513,"""Trabajadores en la elaboración de pan, tortilla, repostería, y otros productos de cereales y harinas """
7514,Trabajadores en la elaboración de productos a base de frutas y verduras
7515,"""Trabajadores en la elaboración de productos a base de azúcar, chocolate, confitería y tabaco """
7516,"""Trabajadores en la elaboración de aceites, grasas, sal y especias"""
7517,Trabajadores en la elaboración de bebidas alcohólicas y no alcohólicas
7601,"""Supervisores de artesanos y trabajadores en la elaboración de productos de cerámica, vidrio, azulejo y similares """
7611,Alfareros y trabajadores ceramistas
7612,"""Trabajadores en la elaboración de productos de cemento, cal, yeso, azulejo, piedra y ladrilleros """
7613,Trabajadores del vidrio y similares
7614,"""Trabajadores en la elaboración de productos de hueso, concha, coral y similares"""
7999,",""Otros trabajadores artesanales, no clasificados anteriormente"""
8101,Supervisores de operadores de maquinaria industrial
8111,Operadores de máquinas y equipos para la extracción y beneficio en minas y canteras
8112,Operadores de máquinas y equipos para la extracción en pozos petroleros
8113,"""Operadores de máquinas y equipos para la captación, bombeo y distribución de agua"""
8114,Operadores de equipos portátiles especializados para la construcción
8121,"""Operadores de hornos metalúrgicos, coladores y laminadores y operadores de máquinas trefiladoras y estiradoras de metales"""
8122,"""Operadores de máquinas pulidoras, galvanizadoras y recubridoras de metal"""
8123,"""Operadores de máquinas que cortan, perforan, doblan, troquelan, sueldan, etc., piezas y productos metálicos"""
8131,Operadores de máquinas para la elaboración de productos químicos
8132,Operadores de máquinas para la elaboración de productos farmacéuticos y cosméticos
8133,Operadores de máquinas para la elaboración y ensamble de productos de plástico y hule
8134,Operadores de máquinas para el tratamiento de agua
8135,Operadores de máquinas y equipos para la refinación del petróleo y gas
8141,Operadores de máquinas para el tratamiento de la madera y elaboración de aglomerados y triplay
8142,"""Operadores de máquinas para la elaboración de productos de madera, bejuco, mimbre  y similares"""
8143,"""Operadores de máquinas en la elaboración de celulosa, papel y similares"""
8144,Operadores de máquinas para la impresión y encuadernación
8145,Operadores de máquinas para la elaboración de productos a base de papel y cartón
8151,Operadores de máquinas y equipos de hilar y bobinar fibras textiles naturales y sintéticas
8152,"""Operadores de máquinas para fabricar tejidos de punto, telas y alfombras """
8153,"""Operadores de máquinas de costura, bordado y de corte para la confección de productos textiles y prendas de vestir"""
8154,"""Operadores de máquinas en el tratamiento del cuero, piel y la elaboración de calzado"""
8155,"""Operadores de máquinas de lavado, blanqueo, teñido, estampado, afelpado, planchado y acabado de productos textiles, cuero, piel y similares"""
8161,"""Operadores de máquinas en la elaboración de alimentos, aceites, grasas, sal y especias"""
8162,Operadores de máquinas en la elaboración de tabaco
8163,Operadores de máquinas en la elaboración de bebidas alcohólicas y no alcohólicas
8171,"""Operadores de máquinas en la elaboración de cemento, cal, yeso y productos de cemento"""
8172,"""Operadores de máquinas en la elaboración de productos de cerámica, mosaico, azulejo y similares"""
8173,Operadores de máquinas en la elaboración de vidrio y productos de vidrio y similares
8181,Operadores de máquinas e instalaciones para la generación de energía
8199,",""Otros operadores de instalaciones y maquinaria fija industrial, no clasificados anteriormente"""
8201,"""Supervisores en procesos de ensamblado y montaje de  maquinaria, herramientas y productos metálicos y electrónicos"""
8211,"""Ensambladores y montadores de herramientas, maquinaria y productos metálicos"""
8212,Ensambladores y montadores de partes eléctricas y electrónicas
8301,Supervisores de conductores de transporte y de maquinaria móvil
8311,Pilotos de aviación
8321,Capitanes y conductores de transporte marítimo
8322,Oficiales y marineros de cubierta y prácticos
8323,Oficiales maquinistas de transporte marítimo
8324,"""Conductores de pequeñas embarcaciones (lanchas, botes, trajineras, etcétera)"""
8331,"""Conductores de transporte en vías férreas (tren, metro y tren ligero)"""
8341,"""Conductores de camiones, camionetas y automóviles de carga """
8342,"""Conductores de autobuses, camiones, camionetas, taxis y automóviles de pasajeros """
8343,Choferes en casas particulares
8344,Conductores de motocicleta
8349,",""Otros conductores de transporte terrestre con motor, no clasificados anteriormente"""
8351,Conductores de maquinaria móvil para la construcción y minería
8352,"""Conductores de maquinaria móvil para el movimiento de mercancías en fábricas, puertos, comercios, etcétera."""
8999,",""Otros operadores de maquinaria industrial, ensambladores y conductores de transporte, no clasificados anteriormente"""
9111,Trabajadores de apoyo en actividades agrícolas
9112,Trabajadores de apoyo en actividades ganaderas
9113,Trabajadores de apoyo que realizan actividades agrícolas y ganaderas
9121,Trabajadores de apoyo en actividades silvícolas y forestales
9122,Trabajadores de apoyo en actividades de acuicultura y pesca
9123,Trabajadores de apoyo en actividades de caza y captura
9124,Recolectores de leña y acarreadores de agua
9211,Trabajadores de apoyo en la minería
9212,Trabajadores de apoyo en la extracción
9221,Trabajadores de apoyo en la construcción
9222,Trabajadores de apoyo en plomería e instalación de tuberías
9231,"""Trabajadores de apoyo en la elaboración, reparación y mantenimiento mecánico de equipos, maquinaria y productos de metal y de precisión """
9232,"""Trabajadores de apoyo en la industria eléctrica, electrónica y comunicaciones"""
9233,"""Trabajadores de apoyo en la industria química, petroquímica y plásticos"""
9234,"""Trabajadores de apoyo en la industria de la madera, papel y cartón"""
9235,Trabajadores de apoyo en la industria textil y del zapato
9236,"""Trabajadores de apoyo en la industria de alimentos, bebidas y productos de tabaco"""
9237,"""Trabajadores de apoyo en la industria de la cerámica, vidrio y similares"""
9239,",""Trabajadores de apoyo en la industria, no clasificados anteriormente"""
9311,Ayudantes de conductores de transporte terrestre con motor
9312,Ayudantes de conductores de transporte en vías férreas
9321,Conductores de vehículos de transporte en bicicleta
9322,"""Conductores de transporte de tracción animal (carretas, arrieros, etcétera)"""
9331,Cargadores
9411,Ayudantes en la preparación de alimentos
9511,Vendedores ambulantes de periódicos y lotería
9512,Vendedores ambulantes de artículos diversos (excluyendo los de venta de alimentos)
9521,Preparadores y vendedores ambulantes de alimentos
9601,"""Supervisores en limpieza, amas de llaves, mayordomos y en estacionamientos"""
9611,Trabajadores domésticos
9621,Barrenderos y trabajadores de limpieza  (excepto en hoteles y restaurantes)
9622,Recamaristas y camaristas
9623,Mozos de hotel y restaurante
9624,Limpiadores de calzado
9631,Lavadores de vehículos en establecimientos
9632,Lavadores de vehículos en vía pública
9633,Cuidadores y acomodadores de autos en estacionamientos
9641,Lavanderos en establecimientos
9642,Planchadores y tintoreros en establecimientos
9643,Lavanderos y planchadores domésticos
9651,Ayudantes de jardineros
9661,Recolectores de basura y material reciclable
9662,Clasificadores de desechos
9663,Recolectores de otros materiales
9711,"""Trabajadores de paquetería, maleteros y botones de hotel """
9712,Empacadores de objetos y mercancías
9713,"""Trabajadores de apoyo a la realización de espectáculos, deportes y en parques de diversiones"""
9721,Carteros (a pie y en bicicleta)
9722,Repartidores de mensajería (a pie y en bicicleta) y mandaderos
9723,Repartidores de mercancías (a pie y en bicicleta)
9731,Lecturistas de medidores
9732,Recolectores de dinero
9899,",""Otros trabajadores en actividades elementales y de apoyo, no clasificados anteriormente"""
9999,Ocupaciones no especificadas
